Model,Accuracy,Precision,Recall,F1,ROC-AUC
SVC,0.5929878048780488,0.43529411764705883,0.14453125,0.21700879765395895,0.511337890625
RandomForest,0.6509146341463414,0.5652173913043478,0.45703125,0.5053995680345572,0.6517431640625
KNN,0.5365853658536586,0.4215686274509804,0.50390625,0.4590747330960854,0.5374853515625
DecisionTree,0.5685975609756098,0.4457831325301205,0.43359375,0.4396039603960396,0.5470947265625
XGBoost,0.6158536585365854,0.5092592592592593,0.4296875,0.46610169491525427,0.62615234375
