Model,Accuracy,AUC,F1 Score,Rank_AUC,Rank_F1,Avg_Rank
Random Forest,0.7075940383250532,0.814388126792219,0.5984405458089669,1.0,1.0,1.0
Logistic Regression,0.7743080198722498,0.8139515358185434,0.5655737704918032,2.0,2.0,2.0
Decision Tree,0.7835344215755855,0.8095610839856364,0.5329249617151608,6.0,3.0,4.5
Gradient Boosting,0.7828246983676366,0.8129582267689683,0.5203761755485894,4.0,4.5,4.25
XGBoost,0.7828246983676366,0.8139037433155081,0.5203761755485894,3.0,4.5,3.75
SVM,0.7686302342086586,0.7511392699372239,0.5105105105105106,7.0,6.0,6.5
AdaBoost,0.7899219304471257,0.8108682735281201,0.4788732394366197,5.0,7.0,6.0
KNN,0.7374024130589071,0.7371916091864941,0.41455696202531644,8.0,8.0,8.0
